---START---
-128.00, 26.65, 127.21, -36.85, 
-127.00, 26.72, 128.53, -37.28, 
-126.00, 27.19, 127.65, -36.90, 
-125.00, 26.51, 126.39, -36.84, 
-124.00, 26.57, 127.77, -37.11, 
-123.00, 26.45, 125.36, -37.22, 
-122.00, 26.46, 127.44, -37.42, 
-121.00, 26.57, 124.83, -36.97, 
-120.00, 26.38, 126.83, -36.73, 
-119.00, 26.42, 124.63, -36.93, 
-118.00, 26.56, 126.09, -36.88, 
-117.00, 26.40, 125.30, -36.95, 
-116.00, 26.58, 125.49, -37.06, 
-115.00, 26.12, 124.38, -36.96, 
-114.00, 26.49, 124.45, -37.11, 
-113.00, 26.65, 123.71, -36.69, 
-112.00, 26.71, 122.70, -37.12, 
-111.00, 26.64, 125.13, -37.51, 
-110.00, 26.52, 121.78, -37.07, 
-109.00, 26.58, 122.92, -36.97, 
-108.00, 26.87, 122.33, -37.89, 
-107.00, 26.31, 122.10, -37.45, 
-106.00, 26.58, 122.05, -37.93, 
-105.00, 26.68, 122.26, -38.07, 
-104.00, 26.43, 122.03, -37.33, 
-103.00, 26.48, 120.29, -37.59, 
-102.00, 26.55, 122.84, -37.60, 
-101.00, 26.17, 120.12, -37.43, 
-100.00, 26.25, 121.08, -37.15, 
-99.00, 26.25, 120.72, -37.18, 
-98.00, 26.16, 120.87, -37.11, 
-97.00, 26.22, 119.86, -37.22, 
-96.00, 26.36, 119.32, -37.68, 
-95.00, 26.46, 120.72, -37.33, 
-94.00, 26.36, 117.92, -37.21, 
-93.00, 26.29, 119.93, -37.78, 
-92.00, 26.28, 118.11, -37.37, 
-91.00, 26.37, 118.77, -37.70, 
-90.00, 26.50, 118.68, -37.74, 
-89.00, 26.49, 118.64, -37.31, 
-88.00, 26.03, 116.33, -37.61, 
-87.00, 26.32, 118.09, -37.44, 
-86.00, 26.28, 117.27, -37.53, 
-85.00, 26.46, 117.59, -37.69, 
-84.00, 26.48, 115.95, -37.87, 
-83.00, 26.50, 117.08, -37.86, 
-82.00, 26.66, 116.00, -37.76, 
-81.00, 26.44, 115.31, -37.76, 
-80.00, 26.40, 117.04, -37.45, 
-79.00, 26.50, 114.36, -37.52, 
-78.00, 26.78, 115.04, -37.50, 
-77.00, 26.59, 113.55, -36.86, 
-76.00, 26.67, 115.62, -37.88, 
-75.00, 26.69, 113.96, -37.64, 
-74.00, 26.77, 114.22, -37.89, 
-73.00, 27.07, 113.78, -37.76, 
-72.00, 26.84, 113.38, -37.65, 
-71.00, 26.72, 112.69, -37.84, 
-70.00, 26.75, 112.01, -37.99, 
-69.00, 26.67, 113.24, -37.73, 
-68.00, 26.52, 111.92, -37.93, 
-67.00, 26.82, 112.54, -37.85, 
-66.00, 26.96, 110.79, -37.99, 
-65.00, 26.69, 112.01, -37.69, 
-64.00, 26.65, 110.94, -38.17, 
-63.00, 26.72, 111.27, -38.20, 
-62.00, 27.02, 110.45, -37.67, 
-61.00, 26.81, 110.41, -38.11, 
-60.00, 27.31, 111.18, -38.69, 
-59.00, 27.07, 110.12, -38.51, 
-58.00, 27.27, 109.94, -38.20, 
-57.00, 27.18, 108.50, -38.16, 
-56.00, 27.26, 109.62, -38.23, 
